S. No. ,Article Title,Type (Pick 1),Topic (Multi-Select),Country/Region,Author,Source,Link,Description
1,Unpacking digital sovereignty through data governance ,Report,Participation and Agency,,Tilly Bogataj,Policy Commons ,https://policycommons.net/artifacts/3846704/chapter-1/4652659/,"Should the entity extracting and creating value out of the personal data own the data or should ownership remain with the data subject or individual to whom the data relates? This is a question still open for debate with some arguing that, personal data ownership is incompatible with a rights-based approach to personal data"
2,Leveraging the African Union Data Policy Framework to Bolster National Data Governance Practices ,Article,Participation and Agency,Africa,,CIPESA,https://cipesa.org/2022/06/leveraging-the-african-union-data-policy-framework-to-bolster-national-data-governance-practices/,CIPESA comment on the African Union Data Policy Framework 
3,Digital Infrastructure in Africa ,Report,Enabling Environment,Africa,,UNECA,https://repository.uneca.org/handle/10855/50027,"This study provides an overview of digital infrastructure in Africa and compares it with digital infrastructure in the rest of the world. The scope is limited to the components of digital infrastructure related to digital trade. In particular, the focus is internet infrastructure (notably, broadband infrastructure), data-related infrastructure (encompassing IXPs, data centres and cloud computing) and delivery-related or logistics infrastructure (such as the postal network). This study also covers elements that are likely to affect digital trade, such as digital payment systems and digital platforms."
4,Africa Agenda for Cyber Capacity Building (AA-CCB),Report,Participation and Agency,Africa,Global Forum on Cyber Expertise ,Global Forum on Cyber Expertise ,https://gc3b.org/wp-content/uploads/2023/12/Africa-Agenda-Final-Final_Dec-.pdf,"To tackle the digital challenge, Africa must invest in its youth through cyber capacitybuilding (CCB) programs, strengthening educational institutions and partnering with experts to equip them as cyber guardians. Innovation should be fostered to develop cutting-edge cybersecurity solutions, supporting startups and entrepreneurs within a thriving ecosystem. Governments must adopt comprehensive cybersecurity policies and allocate resources to protect critical infrastructure. Africa should also collaborate internationally to share threat intelligence and combat cybercrime globally."
5,Data Justice in Practice: A Guide for Policymakers,Report,Oversight and Accountability ,,Global Partnership on Artificial Intelligence,Global Partnership on Artificial Intelligence,https://gpai.ai/projects/data-governance/,"This guide provides actionable information for policymakers who wish to implement the principles and priorities of data justice in their policymaking activities. In this section we present the process undertaken to produce this guide, the intended audience, and the context of the Advancing Data Justice Research and Practice project."
6,Data Justice in Practice: A Guide for Developers,Report,Technical Choices,,Global Partnership on Artificial Intelligence,Global Partnership on Artificial Intelligence,https://gpai.ai/projects/data-governance/,"This guide provides actionable information for developers who wish to implement the principles and priorities
of data justice in their data practices and within their data innovation ecosystems. "
7,Behind the Work of Digital Justice,Report,Participation and Agency,,Pollicy,Pollicy,https://pollicy.org/resource/behind-the-work-of-digital-justice-report/,"The study investigates and explores the reactive nature of digital rights & digital security programs. Constantly reacting to rapidly emerging challenges may hinder organizations in this secor from reflecting on the quality of their interventions, including whether they are able to meet understood needs or replicate successes and course correct on mistakes."
8,The Digital Era and Data: Considerations for National Statistical Office (NSOs) in the Digital Data Ecosystem,Report,Enabling Environment,,C1P1T,C1P1T,https://cipit.org/the-digital-era-and-data-considerations-for-national-statistical-office-nsos-in-the-digital-data-ecosystem/,"This report gives highlights the changing roles and functions of NSOs in the digital era and how digitization has contributed to the changes. It also highlights the challenges, opportunities, and data governance gaps that exist and what can be done to address the gaps."
9,"Unlocking stronger institutions, policies and citizen
participation in Africa for a more effective data driven
public sector",Article,Oversight and Accountability ,Africa,Sone Osakwe,CSEA,https://cseaafrica.org/category/publications/policy-brief-alerts/,"This brief evaluates the current state of enabling institutions, policies, and citizen engagement, in fostering greater data value creation in the public sector."
10,Enhancing Data Sharing Practices Between Government Agencies,Report,Enabling Environment,,Sone Osakwe,CSEA,https://cseaafrica.org/enhancing-data-sharing-practices-between-government-agencies/,"In today’s fast-paced world, access to accurate and timely data is crucial for effective governance and decision-making. Policymakers often struggle to access the data they need to make informed decisions and serve the public effectively. The problem lies not in the lack of available data but in its inaccessibility. Unfortunately, many government ministries, departments, and agencies (MDAs) in African countries face challenges when it comes to sharing and integrating data. This lack of data interoperability hampers collaboration, slows down processes, and prevents the delivery of efficient public services."
