S. no. ,Article title ,Category,Author ,Publisher ,Link ,Description 
1,What is DPI?,Article,"David Eaves,
Jordan Sandman",UCL IIPP,"https://medium.com/iipp-blog/what-is-digital-public-infrastructure-6fbfa74f2f8c
https://www.codevelop.fund/explaining-co-develops-definition-of-dpi","Digital Public Infrastructure (DPI) provides essential, inclusive, interoperable, and publicly accountable digital capabilities like identity verification, payments, and data exchange. These components form the foundation for participation in modern society and markets. DPI governance ensures alignment with public interests, fostering widespread access and enabling innovation while addressing societal challenges."
2,"How digital public infrastructure supports empowerment, inclusion, and resilience.",Article,"Vyjayanti Desai,
Jonathan Marskell,
Georgina Marin,
Minita Varghese",World Bank Blogs,https://blogs.worldbank.org/digital-development/how-digital-public-infrastructure-supports-empowerment-inclusion-and-resilience,"The article highlights the significance of Digital Public Infrastructure (DPI) in enhancing societal functions worldwide. DPI, encompassing identification, payments, and data exchange systems, serves as a foundational, cross-cutting enabler, fostering innovation and inclusivity. Governments play a pivotal role in DPI deployment, ensuring public benefit and resilience, particularly evident during crises like the COVID-19 pandemic. Challenges include digital exclusion and cybersecurity risks, addressed through human-centered design and robust data protection measures. Initiatives like the World Bank Group's ID4D and G2Px support countries in DPI development, promoting global consensus and resource scaling for a digitally inclusive future."
,DPI overview,Explainer ,CDPI,CDPI,https://docs.cdpi.dev/dpi/readme,"The DPI Wikipedia serves as a comprehensive resource, distilling 15 years of global implementation experience in Digital Public Infrastructure (DPI). It focuses on key areas essential for executing inclusive, interoperable, and scalable DPI across various sectors like agriculture, finance, health, and education. Designed to be constantly updated, it provides builders and practitioners with essential insights to drive inclusive and sustainable economic growth. The Wikipedia is dedicated to those tirelessly working to solve societal challenges and encourages sharing of implementation progress for celebration and collaboration."
3,The Case for Investing in Digital Public Infrastructure,Article,Bhaskar Chkravorti,Harvard Business Review,https://hbr.org/2023/05/the-case-for-investing-in-digital-public-infrastructure,"In India, investment in digital public infrastructure (DPI) has transformed how the country does business and how its citizens interact with their government. DPI, or rails on which easy-to-use digital products and services can be built to benefit entire populations, has the potential to quietly remake entire economies through digital means in both the developing and developed world. However, to be successful, governments and businesses need to coordinate on how to invest in, build, and run this digital layer. The author lays out eight qualities of successful DPI projects, and how the public and private sectors can coordinate to build them"
4,"Explainer: What 
is DPI?",Article,Thao Hong,Gates Foundation,https://www.gatesfoundation.org/ideas/articles/what-is-digital-public-infrastructure,"The article emphasizes the significance of Digital Public Infrastructure (DPI) in accelerating economic growth and providing inclusive services, particularly vital during crises like the COVID-19 pandemic. DPI comprises identity, payments, and data exchange systems, enabling countries to deliver economic opportunities and social services efficiently. Strong DPI fosters economic prosperity, benefiting individuals, businesses, and governments alike. It enhances financial inclusion, stimulates market competition, and streamlines service delivery. Countries can leverage existing digital public goods like MOSIP and Mojaloop to build DPI effectively. DPI also contributes to achieving Sustainable Development Goals by reducing inequality, promoting health, and driving sustainable economic growth"
5,"Government as a 
Platform",Essay,Tim O'Reilly,O'Reilly,https://www.oreilly.com/library/view/open-government/9781449381936/ch02.html,"In ""Government as a Platform,"" Tim O’Reilly discusses the transformative potential of Government 2.0, drawing parallels with the innovation of Web 2.0. He emphasizes the role of technology, especially collaborative tools, in addressing collective challenges. O’Reilly envisions Government 2.0 as a reimagined form of governance, where technology facilitates citizen participation and problem-solving. He introduces the concept of ""Government as a Platform,"" likening it to successful technological platforms like the World Wide Web and the Apple iPhone ecosystem. O’Reilly advocates for designing government systems that enable innovation and participation, emphasizing simplicity and openness in governance."
8,"GovStack 
Definitions : DPI, DPG 
and Building Blocks ",Explainer ,GovStack,DPGA,cambridge,"The GovStack initiative defines Digital Public Infrastructure (DPI) as systems enabling essential societal functions, including digital ID, payments, and data exchange. Building Blocks are interoperable software components facilitating scalable digital services, adaptable for various contexts. Digital Public Goods (DPGs) are resources, possibly including Building Blocks, designed for public benefit. Together, they form the backbone of digital transformation, ensuring inclusive access to critical services and fostering innovation in governance."
9,What is Good DPI?,Explainer ,DIAL,DIAL,https://dial.global/good-dpi/,"The increasing global connectivity offers an immense opportunity for governments, communities, and private sectors to utilize digital tools for societal betterment. Digital Public Infrastructure (DPI) serves as the backbone, akin to physical infrastructure, powering essential services. DPI promotes innovation, interoperability, and inclusivity, aiming to benefit all individuals and communities. It facilitates financial inclusion, healthcare access, gender equity, climate action, economic growth, and innovation. Foundational layers like digital IDs, payments, data exchange, and consent networks build trust, inclusion, and opportunities. Governments, private sectors, and foundations collaborate to develop and maintain DPI, ensuring accountability, safeguarding against misuse, and fostering a positive digital future."
10,"The DPI approach - 
A Playbook",Report,UNDP + Aapti,UNDP,https://www.undp.org/publications/dpi-approach-playbook,"The DPI playbook offers practical guidance for low and middle-income countries (LMICs) embarking on their digital public infrastructure (DPI) journey. It distills insights from consultations with LMICs and experiences from leading countries in DPI implementation. Key features include checklists, assessment tools, case studies, and best practices to aid government officials in designing and implementing DPI across ministries and agencies. Released during India's G20 Presidency, this playbook serves as a blueprint for countries to kickstart their technology, governance, and community-driven DPI initiatives, aligning with national development priorities and promoting inclusivity and rights-based approaches."
11,"Understanding DPI: 
What it Means — 
and Why it Matters — 
to Businesses and 
Governments in Emerging Markets",Article,"David  Porteous,
Priya Vora,
Ravi Shankar, Chaturvedi,
Peter Rabley",Next Billion,https://nextbillion.net/digital-public-infrastructure-why-it-matters-business-governments-emerging-markets/,"The article explores the growing importance of digital public infrastructure (DPI) and the need for a shared understanding of its definition and principles. It discusses how DPI can drive innovation and transformation in emerging markets, emphasizing the importance of interoperability, security, and public purpose. The article presents two key DPI definitions from the G20 and Co-Develop, highlighting their common features and potential limitations. It also explores examples of next-generation DPI, such as central bank digital currencies and blockchain-based financial systems, and discusses the challenges and opportunities associated with their implementation. Ultimately, the article advocates for a flexible and collaborative approach to DPI development to unlock its full potential for societal benefit."
12,What is the DPI approach?,Article,"Keyzom Ngodup,
Rahul Matthan,
Rudra Chaudhuri",Carnegie India,https://carnegieindia.org/2023/05/15/what-is-dpi-approach-pub-89721,"The article explores Digital Public Infrastructure (DPI), emphasizing its transformative potential in revolutionizing public service delivery. Key principles include common design for flexibility, robust governance ensuring privacy and accountability, and private sector involvement for innovation. It advocates for ""glocalization,"" adapting DPIs locally while maintaining interoperability. The establishment of a formal institution is proposed to facilitate knowledge sharing and capacity building. Overall, the article calls for global collaboration to advance DPI adoption, promoting inclusive digital development."
13,"Digital public goods: 
Enablers of digital 
sovereignty ",Essay  ,"Liv Nordhaug,
Lucy Harris",OECD,https://www.oecd-ilibrary.org/sites/c023cb2e-en/index.html?itemId=/content/component/c023cb2e-en#section-d1e24388,"Digital sovereignty helps countries maintain control over their decision making and implementation of services. Proprietary technology can lead to technological lock-ins and silos that threaten digital sovereignty, but digital public goods, a type of open-source solution, allow countries to adopt, adapt and scale technology in ways that maintain their flexibility. As uptake of digital public goods – and thus digital sovereignty – spreads, it is reshaping the patterns of development co-operation."
14,"Co-Develop: DPI for an 
Equitable Recovery
",Report,Rockefeller Foundation ,Rockefeller Foundation ,https://www.rockefellerfoundation.org/report/co-develop-digital-public-infrastructure-for-an-equitable-recovery/,"Digital systems that accomplish basic, society-wide functions played a critical role in the response to the Covid-19 pandemic, enabling both public health and social protection measures. The pandemic has shown the value of these systems, but it has also revealed how they are non-existent or weak in far too many places. As we build back better, we have an unprecedented opportunity to build digital public infrastructure that promotes inclusion, human rights, and progress toward global goals. This report outlines an agenda for international cooperation on digital public infrastructure to guide future investments and expansion of this critical tool."
15,"Promise and pitfalls of 
digital government",Article,David Eaves ,The Economist,https://www.economist.com/by-invitation/2023/07/05/david-eaves-on-the-promise-and-pitfalls-of-digital-government,"Over the past decade, several governments have challenged the notion that the state is inept at deploying technology at scale. By treating digital services as public infrastructure, countries like Estonia, India, and Brazil are reshaping sovereignty and state capacity in the digital age. These pioneers have developed sophisticated systems for managing identity, facilitating payments, and sharing medical data, inspiring other nations to follow suit. Since the pandemic, over 50 countries have sought World Bank assistance to enhance their digital-public-infrastructure (DPI) systems, recognizing the importance of digitizing public services akin to traditional physical infrastructure like roads and utilities."
16,"Stacking up the Benefits: 
Lessons from India’s Digital Journey",Working Papers,"Cristian Alonso,
Tanuj Bhojwani, 
Emine Hanedar, 
Dinar Prihardini, 
Gerardo Uña,
Kateryna Zhabska",IMF,https://www.imf.org/en/Publications/WP/Issues/2023/03/31/Stacking-up-the-Benefits-Lessons-from-Indias-Digital-Journey-531692,"Foundational digital public infrastructure (DPI), consisting of unique digital identification, payments system and data exchange layer has the potential to support the transformation of the economy and support inclusive growth. India’s foundational DPI, called India Stack, has been harnessed to foster innovation and competition, expand markets, close gaps in financial inclusion, boost government revenue collection and improve public expenditure efficiency. India’s journey in developing a world-class DPI highlights powerful lessons for other countries embarking on their own digital transformation, in particular a design approach that focuses on shared building blocks and supporting innovation across the ecosystem."
17,"The right way to build 
DPI : 5 insights",Article,"Keyzom Ngodup,
Carolin Frankenhauser",World Economic Forum,https://www.weforum.org/agenda/2022/08/digital-public-infrastructure/,"Governments worldwide are recognizing the critical role of digital infrastructure in advancing the UN's Sustainable Development Goals (SDGs). Digital Public Infrastructure (DPI), including systems for digital identification and payments, is vital for societal functioning and economic growth. To maximize the potential of DPI, a whole-of-society approach is necessary, prioritizing inclusion, governance, and engagement with local ecosystems. New models of digital cooperation and people-centric design are essential to ensure equity and protect rights. Furthermore, evidence on the impact of Digital Public Goods (DPGs) for DPI development is needed to inform strategic investments and achieve the SDGs effectively."
18,"Best Practices for the 
Governance of DPGs",Report,"
David Eaves, 
Leonie Bolte, 
Omayra Chuquihuara,
Surabhi Hodigere","Ash Center, HKS ",https://ash.harvard.edu/files/ash/files/best_practices_for_the_governance_of_digital_public_goods.pdf?m=1650463335,"The digitization of government services presents both opportunities and challenges. Digital Public Goods (DPGs), including open-source software and data, offer a model to share the burden of modernizing government infrastructure. However, effective governance of DPGs, particularly regarding joint management by sovereign entities, is crucial. Research conducted by the Ash Center at Harvard Kennedy School proposes five governance best practices for DPGs, including codifying a vision, creating a code of conduct, designing governance bodies, ensuring stakeholder representation, and engaging external contributors. These practices aim to foster institutions that create public value, possess legitimacy, and maintain operational capacity."
20,Why DPI can be a game changer for children?,Article,"Chris Larsson,
Fui Meng Liew,
Carolin Frankenhauser",World Economic Forum,https://www.weforum.org/agenda/2023/01/digital-public-infrastructure-is-a-gamechanger-for-children,"The COVID-19 pandemic exacerbated challenges for children globally, with 100 million more falling into poverty and severe disruptions to education and healthcare. Creating digital public infrastructure (DPI) offers solutions, enabling access to vital services like healthcare and education, reducing poverty through digital payments, and improving access to education via digital learning platforms. However, risks such as data protection and exclusion must be addressed. UNICEF advocates for the availability of open-source solutions, increased investment, and complementary non-technological innovations to accelerate the development of DPI for children, ensuring their rights are protected and needs are met."
21,"India Stack : are we there
yet?",Article,Dr. Pramod Varma,The Economic Times,https://economictimes.indiatimes.com/tech/catalysts/ettech-opinion-india-stack-are-we-there-yet/articleshow/96643696.cms,"The coming year should see Aadhaar 2.0 kicking in with increased voluntary adoption in the private sector, privacy preserving decentralised authentication on the m-Aadhaar app, and full rollout of face authentication due to massive smartphone adoption, eliminating the need for fingerprint devices."
